"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3372","navigation to form page @smoke @regression","chromium","Sun Dec 22 14:30:19 JST 2024","passed","Sun Dec 22 14:30:23 JST 2024","","UsePageObjects.spec.ts","",""
"","3230","parametrized methods @block","chromium","Sun Dec 22 14:30:19 JST 2024","passed","Sun Dec 22 14:30:23 JST 2024","","UsePageObjects.spec.ts","",""
